"id","market","strategy","status","outcome","execution_mode","quality_gate_status","quality_gate_reasons","entry_at","exit_at","side","entry","stop","target","net_pnl","r_multiple","risk","cost_r","fees","slippage","mfe_r","mae_r","exit_reason","quality_score","trend_score","regime"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:ETH-EUR:ETH-EUR:mtf:1h:resistance:345","ETH-EUR","scout_touch_rejection","closed_win","win","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum","2026-06-27T18:04:28.354Z","2026-06-27T19:39:35.872Z","short","1393.66","1401.2","1382.35","4.73","0.95","5","0.55","1.85","0.92","1.58","-0.68","Take Profit","0.531","0.5175","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:breakout_retest:ETH-EUR:ETH-EUR:mtf:1h:resistance:345","ETH-EUR","breakout_retest","closed_loss","loss","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum","2026-06-27T16:29:31.475Z","2026-06-27T19:29:35.668Z","long","1405.35","1391.9","1425.53","-6.56","-1.31","5","0.31","1.04","0.52","0.3","-1.38","Stop Loss","0.5521","0.4549","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:momentum_continuation:ETH-EUR:ETH-EUR:mtf:1h:resistance:345","ETH-EUR","momentum_continuation","closed_win","win","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum","2026-06-27T17:04:32.274Z","2026-06-27T19:29:35.668Z","short","1396.68","1401.2","1389.9","2.86","0.57","5","0.93","3.09","1.55","2.18","-0.73","Take Profit","0.5559","0.7327","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:range_bounce:ETH-EUR:ETH-EUR:mtf:1h:resistance:345","ETH-EUR","range_bounce","closed_win","win","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum;trend_score_below_minimum","2026-06-27T18:04:28.354Z","2026-06-27T19:39:35.872Z","short","1393.66","1401.2","1382.35","4.73","0.95","5","0.55","1.85","0.92","1.58","-0.68","Take Profit","0.4794","0.3547","Range"
"magi_15_htf_mtf_revisit_trade_management_v2:volatility_breakout:ETH-EUR:ETH-EUR:mtf:1h:resistance:345","ETH-EUR","volatility_breakout","closed_loss","loss","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum","2026-06-27T17:39:33.166Z","2026-06-27T19:29:35.668Z","long","1399.83","1391.9","1411.73","-7.65","-1.53","5","0.53","1.77","0.88","0","-1.64","Stop Loss","0.585","0.7327","High Volatility"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:BTC-EUR:BTC-EUR:htf:4h:support:126","BTC-EUR","scout_touch_rejection","closed_win","win","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum","2026-06-26T05:11:36.209Z","2026-06-26T06:47:42.555Z","long","52650","52486.97","52894.55","2.66","0.53","5","0.97","3.23","1.61","2.51","-0.99","Take Profit","0.3898","0.5075","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:breakout_retest:BTC-EUR:BTC-EUR:htf:4h:support:126","BTC-EUR","breakout_retest","closed_loss","loss","shadow_quality_blocked","blocked_shadow","hard_cost_r_block;quality_score_below_strategy_minimum","2026-06-26T05:01:36.102Z","2026-06-26T05:16:36.315Z","short","52561","52652.11","52424.34","-13.65","-2.73","5","1.73","5.77","2.88","0.08","-1.76","Stop Loss","0.4272","0.6591","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:momentum_continuation:BTC-EUR:BTC-EUR:htf:4h:support:126","BTC-EUR","momentum_continuation","closed_win","win","shadow_quality_blocked","blocked_shadow","hard_cost_r_block;quality_score_below_strategy_minimum","2026-06-26T05:06:36.459Z","2026-06-26T05:16:36.315Z","long","52564","52491.55","52672.68","-3.39","-0.68","5","2.18","7.26","3.63","2.17","0","Take Profit","0.4096","0.6591","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:mean_reversion:BTC-EUR:BTC-EUR:htf:4h:support:126","BTC-EUR","mean_reversion","closed_loss","break_even","shadow_quality_blocked","blocked_shadow","hard_cost_r_block;quality_score_below_strategy_minimum;trend_score_below_minimum","2026-06-26T05:26:36.572Z","2026-06-26T05:47:40.585Z","long","52566","52480.55","52694.18","-9.23","-1.85","5","1.85","6.15","3.08","1.19","-0.68","Break Even","0.3807","0.3643","Range"
"magi_15_htf_mtf_revisit_trade_management_v2:liquidity_sweep_fade:BTC-EUR:BTC-EUR:htf:4h:support:126","BTC-EUR","liquidity_sweep_fade","closed_loss","break_even","shadow_quality_blocked","blocked_shadow","hard_cost_r_block;quality_score_below_strategy_minimum;trend_score_below_minimum","2026-06-26T05:26:36.572Z","2026-06-26T05:47:40.585Z","long","52566","52480.55","52694.18","-9.23","-1.85","5","1.85","6.15","3.08","1.19","-0.68","Break Even","0.3926","0.3643","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:range_bounce:BTC-EUR:BTC-EUR:htf:4h:support:126","BTC-EUR","range_bounce","closed_win","win","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum;trend_score_below_minimum","2026-06-26T05:11:36.209Z","2026-06-26T06:47:42.555Z","long","52650","52486.97","52894.55","2.66","0.53","5","0.97","3.23","1.61","2.51","-0.99","Take Profit","0.3547","0.3784","Range"
"magi_15_htf_mtf_revisit_trade_management_v2:volatility_breakout:BTC-EUR:BTC-EUR:htf:4h:support:126","BTC-EUR","volatility_breakout","closed_loss","loss","shadow_quality_blocked","blocked_shadow","hard_cost_r_block;quality_score_below_strategy_minimum","2026-06-26T05:01:36.102Z","2026-06-26T05:16:36.315Z","short","52561","52652.11","52424.34","-13.65","-2.73","5","1.73","5.77","2.88","0.08","-1.76","Stop Loss","0.4272","0.6591","High Volatility"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:BTC-EUR:BTC-EUR:htf:4h:support:119","BTC-EUR","scout_touch_rejection","closed_loss","loss","primary","passed","","2026-06-25T21:33:54.325Z","2026-06-26T02:16:32.485Z","long","52598","52046.13","53425.81","-6.43","-1.29","5","0.29","0.95","0.48","0.59","-1.84","Stop Loss","0.6159","0.496","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:range_bounce:BTC-EUR:BTC-EUR:htf:4h:support:119","BTC-EUR","range_bounce","closed_loss","loss","shadow_correlated_duplicate","passed","","2026-06-25T21:33:54.325Z","2026-06-26T02:16:32.485Z","long","52598","52046.13","53425.81","-6.43","-1.29","5","0.29","0.95","0.48","0.59","-1.84","Stop Loss","0.6601","0.6706","Range"
"magi_15_htf_mtf_revisit_trade_management_v2:breakout_retest:BTC-EUR:BTC-EUR:htf:4h:support:119","BTC-EUR","breakout_retest","closed_timeout","timeout","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum","2026-06-25T20:28:52.914Z","2026-06-26T01:31:31.501Z","short","52370","53059.87","51335.19","0.61","0.12","5","0.23","0.76","0.38","0.35","-0.8","Timeout","0.5635","0.6865","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:momentum_continuation:BTC-EUR:BTC-EUR:htf:4h:support:119","BTC-EUR","momentum_continuation","closed_win","win","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum;late_or_extended_entry","2026-06-25T20:48:53.318Z","2026-06-25T21:33:54.325Z","long","52240","52046.13","52530.81","3.46","0.69","5","0.81","2.69","1.35","1.86","-0.4","Take Profit","0.5254","0.6554","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:volatility_breakout:BTC-EUR:BTC-EUR:htf:4h:support:119","BTC-EUR","volatility_breakout","closed_timeout","timeout","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum","2026-06-25T20:28:52.914Z","2026-06-26T01:31:31.501Z","short","52370","53059.87","51335.19","0.61","0.12","5","0.23","0.76","0.38","0.35","-0.8","Timeout","0.5635","0.6865","High Volatility"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:BTC-EUR:BTC-EUR:htf:4h:support:132","BTC-EUR","scout_touch_rejection","closed_timeout","timeout","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum","2026-06-26T21:48:03.574Z","2026-06-27T02:48:10.971Z","long","52608","52095.75","53376.37","1.21","0.24","5","0.31","1.03","0.51","0.64","-0.24","Timeout","0.5726","0.5997","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:breakout_retest:BTC-EUR:BTC-EUR:htf:4h:support:132","BTC-EUR","breakout_retest","closed_timeout","timeout","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum;trend_score_below_minimum","2026-06-26T20:33:01.772Z","2026-06-27T01:33:09.078Z","short","52281","53010.25","51187.13","-3.17","-0.63","5","0.22","0.72","0.36","0.02","-0.67","Timeout","0.5404","0.4114","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:momentum_continuation:BTC-EUR:BTC-EUR:htf:4h:support:132","BTC-EUR","momentum_continuation","closed_win","win","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum;late_or_extended_entry","2026-06-26T20:38:01.872Z","2026-06-26T21:43:03.588Z","long","52300","52095.75","52606.37","3.66","0.73","5","0.77","2.56","1.28","1.87","-0.06","Take Profit","0.4946","0.6565","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:range_bounce:BTC-EUR:BTC-EUR:htf:4h:support:132","BTC-EUR","range_bounce","closed_timeout","timeout","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum","2026-06-26T21:48:03.574Z","2026-06-27T02:48:10.971Z","long","52608","52095.75","53376.37","1.21","0.24","5","0.31","1.03","0.51","0.64","-0.24","Timeout","0.562","0.5418","Range"
"magi_15_htf_mtf_revisit_trade_management_v2:volatility_breakout:BTC-EUR:BTC-EUR:htf:4h:support:132","BTC-EUR","volatility_breakout","closed_timeout","timeout","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum","2026-06-26T20:38:01.872Z","2026-06-27T01:38:09.169Z","short","52300","53010.25","51234.63","-3.26","-0.65","5","0.22","0.74","0.37","0.02","-0.66","Timeout","0.5584","0.5062","High Volatility"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:BTC-EUR:BTC-EUR:htf:4h:support:129","BTC-EUR","scout_touch_rejection","closed_timeout","timeout","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum","2026-06-26T16:02:55.184Z","2026-06-26T21:03:02.472Z","long","52947","52084.19","54241.22","-4.22","-0.84","5","0.18","0.61","0.31","0","-0.83","Timeout","0.5386","0.6009","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:breakout_retest:BTC-EUR:BTC-EUR:htf:4h:support:129","BTC-EUR","breakout_retest","closed_win","win","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum","2026-06-26T18:27:58.767Z","2026-06-26T18:57:59.367Z","short","52518","52676.46","52280.31","2.53","0.51","5","0.99","3.31","1.66","1.83","0","Take Profit","0.4413","0.6591","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:momentum_continuation:BTC-EUR:BTC-EUR:htf:4h:support:129","BTC-EUR","momentum_continuation","closed_timeout","timeout","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum","2026-06-26T16:02:55.184Z","2026-06-26T21:03:02.472Z","long","52947","52084.19","54241.22","-4.22","-0.84","5","0.18","0.61","0.31","0","-0.83","Timeout","0.5584","0.7105","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:mean_reversion:BTC-EUR:BTC-EUR:htf:4h:support:129","BTC-EUR","mean_reversion","closed_loss","loss","shadow_quality_blocked","blocked_shadow","hard_cost_r_block;quality_score_below_strategy_minimum;trend_score_below_minimum","2026-06-26T19:38:00.474Z","2026-06-26T19:58:00.975Z","long","52565","52479.85","52692.72","-14.26","-2.85","5","1.85","6.17","3.09","0.38","-1.13","Stop Loss","0.3703","0.338","Range"
"magi_15_htf_mtf_revisit_trade_management_v2:liquidity_sweep_fade:BTC-EUR:BTC-EUR:htf:4h:support:129","BTC-EUR","liquidity_sweep_fade","closed_loss","loss","shadow_quality_blocked","blocked_shadow","hard_cost_r_block;quality_score_below_strategy_minimum;trend_score_below_minimum","2026-06-26T19:38:00.474Z","2026-06-26T19:58:00.975Z","long","52565","52479.85","52692.72","-14.26","-2.85","5","1.85","6.17","3.09","0.38","-1.13","Stop Loss","0.3822","0.338","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:range_bounce:BTC-EUR:BTC-EUR:htf:4h:support:129","BTC-EUR","range_bounce","closed_timeout","timeout","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum","2026-06-26T16:02:55.184Z","2026-06-26T21:03:02.472Z","long","52947","52084.19","54241.22","-4.22","-0.84","5","0.18","0.61","0.31","0","-0.83","Timeout","0.5278","0.5423","Range"
"magi_15_htf_mtf_revisit_trade_management_v2:volatility_breakout:BTC-EUR:BTC-EUR:htf:4h:support:129","BTC-EUR","volatility_breakout","closed_win","win","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum","2026-06-26T18:27:58.767Z","2026-06-26T18:57:59.367Z","short","52518","52676.46","52280.31","2.53","0.51","5","0.99","3.31","1.66","1.83","0","Take Profit","0.4413","0.6591","High Volatility"
"magi_15_htf_mtf_revisit_trade_management_v2:momentum_continuation:BTC-EUR:BTC-EUR:mtf:1h:resistance:471","BTC-EUR","momentum_continuation","open","open","shadow_quality_blocked","blocked_shadow","quality_score_below_strategy_minimum;late_or_extended_entry","2026-06-27T18:03:33.658Z","","short","53022","53435.12","52402.32","0","0","5","0.38","","","","","","0.6379","0.7681","Trending"
